companyName,description,jobName,location,require,salary,timePost
Monstyr Pte. Ltd.,"",Data Entry - Contract Position (Admin),Singapore,"","Rp2,2Tr-Rp2,5Tr",11-01-2024
ANOTECH Singapore,"",Senior Software Engineer - Go/Angular,Singapore,"","SGD4N-SGD6,5N",11-01-2024
Vibefam,"",Fullstack Software Engineer Intern [Summer 2024],Singapore,"","SGD1,5N-SGD2N",12-01-2024
USER,"",ICT Infrastructure Engineer - Unix Platform,Singapore,"",Competitive,11-01-2024
Noak,"",Software QA Engineer (Includes Equity),Singapore,"",Competitive,29-12-2023
Atomionics,"",Electronics Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Vflowtech,"",Embedded Engineer (Battery & Energy Management System),Singapore,"",SGD5N-SGD9N,11-01-2024
Youyi Technology Pte Ltd,"",IT Engineer (Server / Microsoft Exchange),Singapore,"","SGD3,5N-SGD4,5N",22-12-2023
ANOTECH Singapore,"",System Engineer (IT Infra and Network),Singapore,"","SGD4,5N-SGD7N",11-01-2024
Aha AI,"",Generative AI Engineer (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Aha AI,"",Senior Back-End Engineer (Full-Remote),Singapore,"","NT$3,5Tr-NT$4,5Tr",11-01-2024
USER,"",ICT Infrastructure Engineer - Windows and Virtualisation Platfor,Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
Atomionics,"",Firmware Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Trueworld Studios,"",VFX Artist,Singapore,"",Competitive,04-01-2024
ANOTECH Singapore,"",Frontend Developer - React/Angular,Singapore,"","SGD4,5N-SGD6N",11-01-2024
Atomionics,"",Experimental Physics Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Atomionics,"",Software Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Atomionics,"",Hardware Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Trueworld Studios,"",The Gameplay Programmer,Singapore,"",Competitive,12-01-2024
Atomionics,"",Mechanical Design Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,1N",04-01-2024
Atomionics,"",Software Engineering (Python) Intern (Jan 2024 or later),Singapore,"","SGD1,5N",02-01-2024
Trueworld Studios,"",Sound Designer for Game Dev,Singapore,"",Competitive,29-12-2023
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,20-12-2023
ANOTECH Singapore,"",Unity Developer - VR,Singapore,"",Competitive,11-01-2024
Atomionics,"",Operations Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Bata Shoe Singapore Pte Ltd,"",Human Resource Intern,Singapore,"",SGD800-SGD1N,11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,04-01-2024
Environmental Solutions (Asia) Pte Ltd,"",Engineering Assistant,Singapore,"","SGD800-SGD1,2N",11-01-2024
Trueworld Studios,"",The 3D Animator,Singapore,"",Competitive,04-01-2024
Trueworld Studios,"",That 3D Artist,Singapore,"",Competitive,04-01-2024
NETS Solutions Pte. Ltd.,"",Test Automation Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Trueworld Studios,"",A Concept Artist,Singapore,"",Competitive,04-01-2024
ANOTECH Singapore,"",UX Researcher,Singapore,"","SGD4,5N-SGD6N",11-01-2024
Trueworld Studios,"",Executive Assistant,Singapore,"",Competitive,10-01-2024
Job Express Services Pte Ltd,"",Welder (ID4409),Singapore,"","SGD2,3N-SGD2,8N",11-01-2024
Rakuten Asia,"",Product Management Intern,Singapore,"",Competitive,11-01-2024
Impossible Marketing Pte Ltd,"",Digital Marketing Support,Singapore,"",SGD2N-SGD3N,12-01-2024
SATS Ltd,"",Robotic Process Automation (RPA) & Power Platform Intern - 6 mth,Singapore,"","SGD1,2N-SGD1,2N",18-12-2023
Expressions,"",Social Media Marketing Intern,Singapore,"",SGD900-SGD1N,11-01-2024
NETS Solutions Pte. Ltd.,"",Software Developer Intern,Singapore,"","SGD800-SGD1,2N",27-12-2023
ConcreteAI,"",IOT Intern (Q3 Q4 Sem 1),Singapore,"",Competitive,10-01-2024
Assembly Works HR Pte Ltd,"",Civil / Architecture Engineering Intern,Singapore,"",SGD1N,11-01-2024
ConcreteAI,"",Civil Project Intern (Q3 Q4 Sem 1 Part time/ Full time),Singapore,"",Competitive,10-01-2024
ConcreteAI,"",Civil Project Intern,Singapore,"",Competitive,10-01-2024
Aztech Technologies Pte Ltd,"",R&D Mechanical Engineering Internship,Singapore,"",Competitive,11-01-2024
Vopak Terminals Singapore Pte Ltd,"",HR Intern,Singapore,"","SGD1N-SGD1,4N",11-01-2024
SGCM Pte Ltd,"",Product Management Intern,Singapore,"",SGD800-SGD1N,11-01-2024
ZENKO Superfoods,"",E-commerce and Livestream intern,Singapore,"",SGD800,14-01-2024
NETS Solutions Pte. Ltd.,"",Software Developer Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Aztech Technologies Pte Ltd,"",Network Internship,Singapore,"",Competitive,11-01-2024
Mediashock Productions Pte Ltd,"",Assistant Producer Intern,Singapore,"",Competitive,04-01-2024
Aha AI,"",Human Capital Specialist,Singapore,"",Competitive,11-01-2024
El Pando Pte Ltd,"",Frontend Web Developer,Singapore,"","SGD2,4N-SGD3,5N",11-01-2024
Braverywf,"",Field Marketing Coordinator,Singapore,"","SGD3,8N-SGD4,3N",11-01-2024
Q Retail Pte Ltd,"",Product Developer / Merchandiser,Singapore,"","SGD3,5N-SGD4,5N",11-01-2024
Rsm Singapore,"",Intern Software Developer,Singapore,"","SGD800-SGD1,5N",10-01-2024
Soristic,"",Research and Community Outreach Intern,Singapore,"",SGD799-SGD800,11-01-2024
Rsm Singapore,"",Intern AI development Intern - Retrieval-Augmented Generation (R,Singapore,"","SGD900-SGD1,5N",12-01-2024
The Ivory,"",Web Developer,Singapore,"",Competitive,10-01-2024
Dream Global Holdings Pte Ltd,"",SEO Manager,Singapore,"",SGD4N-SGD7N,20-12-2023
Consulting Group - Asia Insight Pte Ltd,"",Market Research Intern,Singapore,"",SGD800-SGD1N,14-12-2023
Aztech Technologies Pte Ltd,"",R&D Firmware Internship,Singapore,"",Competitive,02-01-2024
Aztech Technologies Pte Ltd,"",R&D Hardware Internship,Singapore,"",Competitive,02-01-2024
Aztech Technologies Pte Ltd,"",R&D Software Internship,Singapore,"",Competitive,02-01-2024
Aha AI,"",Product Manager PM (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
PALO IT SINGAPORE PTE. LTD.,"",Sales Operations Intern,Singapore,"","SGD1,2N-SGD1,5N",28-12-2023
Aha AI,"",Paid Ad Marketing Specialist (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Mediashock Productions Pte Ltd,"",Assistant Producer Intern for Mediashock,Singapore,"",Competitive,08-01-2024
Aha AI,"",SDET (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Aha AI,"",Marketing Specialist (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Consulting Group - Asia Insight Pte Ltd,"",Market Research Intern,Singapore,"",SGD800-SGD1N,14-12-2023
Advisors Alliance Group,"",Management Associate (Traineeship),Singapore,"","SGD1,2N",12-01-2024
ANOTECH Singapore,"",UI/UX Designer,Singapore,"",Competitive,11-01-2024
Aztech Technologies Pte Ltd,"",R&D Software Internship,Singapore,"",Competitive,02-01-2024
Noak,"",Backend Developer (Includes Equity),Singapore,"",Competitive,22-12-2023
Lalamove,"",Corporate Sales Associate,Singapore,"","SGD2,8N-SGD3,5N",26-12-2023
SATS Ltd,"",Operational Excellence Intern,Singapore,"","SGD850-SGD1,2N",18-12-2023
Impossible Marketing Pte Ltd,"",Google Ads (PPC) Account Manager,Singapore,"","SGD3N-SGD3,3N",12-01-2024
Aha AI,"",SEO / GA Marketing Specialist (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Aha AI,"",Aha AI - Summer Internship Program (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Impossible Marketing Pte Ltd,"",Performance Marketing Specialist,Singapore,"","SGD3N-SGD3,3N",12-01-2024
Motorist Pte Ltd,"",Administration Executive,Singapore,"",SGD2N-SGD3N,12-01-2024
SATS Ltd,"",Logistics & Warehouse Intern,Singapore,"","SGD1,2N",14-12-2023
Aha AI,"",AI Course - ChatGPT in Marketing (Full-Remote),Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,18-12-2023
RYSE Marketing Group,"",Junior Sales Associate (ENTRY LEVEL),Singapore,"",SGD3N-SGD5N,11-01-2024
Braverywf,"",Retail Coordinator,Singapore,"","SGD2,8N-SGD3,5N",11-01-2024
WBSQ Holdings,"",Entrepreneur - E-Commerce Sales Associate,Singapore,"","SGD2N-SGD2,4N",11-01-2024
Hoow Foods Pte. Ltd.,"",Creative Marketing Intern,Singapore,"",SGD1N,11-01-2024
Bluente,"",UI/UX Designer,Singapore,"",Competitive,11-01-2024
Bluente,"",UI/UX Design and graphics Intern (6 months),Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",Executive (Finance Department) [NIE],Singapore,"",Competitive,11-01-2024
Assembly Works HR Pte Ltd,"",Marketing Intern,Singapore,"",SGD800-SGD1N,11-01-2024
RYSE Marketing Group,"",Entry Level Marketing Associate (Entry Level),Singapore,"",SGD3N-SGD5N,11-01-2024
Kingsway Medical Clinic,"",Clinic Assistant/Receptionist,Singapore,"","SGD2,2N-SGD2,7N",12-01-2024
Lalamove,"",Warehouse Associate (6 Months Contract),Singapore,"","SGD1,8N-SGD2,2N",26-12-2023
Watson's Personal Care Stores Pte Ltd,"",Merchandising Intern,Singapore,"",SGD800-SGD1N,11-01-2024
SATS Ltd,"",Talent Acquisition Intern (Jan-Jun 2024),Singapore,"","SGD1,2N",18-12-2023
Big 3 Media,"",Human Resource (HR) Intern,Singapore,"","SGD600-SGD1,2N",11-01-2024
Source Studio Pte Ltd,"",Fashion Designer,Singapore,"",SGD700-SGD1N,11-01-2024
PALO IT SINGAPORE PTE. LTD.,"",Social and Events Marketing Specialist,Singapore,"","SGD3,5N-SGD4,2N",11-01-2024
ANOTECH Singapore,"",Senior Software Developer - Full Stack,Singapore,"",SGD5N-SGD7N,11-01-2024
Rsm Singapore,"",Intern Business Consulting (NPO),Singapore,"","SGD900-SGD1,5N",14-12-2023
Rsm Singapore,"",Intern Business Consulting (ESG),Singapore,"","SGD700-SGD1,5N",18-12-2023
Metropolitan YMCA Singapore,"",Community Services Intern,Singapore,"",Competitive,18-12-2023
Lalamove,"",Operations Specialist (6 Months Contract),Singapore,"","SGD1,8N-SGD2,3N",11-01-2024
Royal Org,"",Sale & Marketing,Singapore,"",SGD3N-SGD4N,14-12-2023
Viharbour (Singapore) Enterprise Pte Ltd,"",E-Commerce Specialist,Singapore,"","SGD2,8N-SGD3,5N",11-01-2024
Metropolitan YMCA Singapore,"",Youth Intern,Singapore,"",Competitive,04-01-2024
EpicNgage Media Pte Ltd,"",Courseware Developer (Contract / Freelance),Singapore,"",SGD400-SGD700,08-01-2024
RYSE Marketing Group,"",Marketing Associate (Fresh Grad/ORD Welcome),Singapore,"",SGD3N-SGD5N,11-01-2024
Metropolitan YMCA Singapore,"",Resource Development Intern,Singapore,"",Competitive,18-12-2023
Noak,"",Android Developer (Includes Equity),Singapore,"",Competitive,20-12-2023
Rohde & Schwarz Regional Headquarters Singapore Pte Ltd,"",Digital Marketing Intern,Singapore,"",Competitive,14-12-2023
ZENKO Superfoods,"",Marketing and Events intern,"Geylang, Singapore","",SGD800,11-01-2024
National Institute Of Education,"",Executive (Finance Department) [NIE],Singapore,"",Competitive,11-01-2024
Samtec Asia Pacific,"",Warehouse Associate,Singapore,"","SGD2N-SGD3,5N",11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",SGD100-SGD2N,11-01-2024
RYSE Marketing Group,"",Entry Level Events Marketing Associate,Singapore,"",SGD3N-SGD5N,11-01-2024
The Swim Starter,"",Business Operations Executive,Singapore,"","SGD2,8N-SGD3,2N",20-12-2023
Orange Interior Pte Ltd,"",Marketing Executive,Singapore,"","SGD2,8N-SGD3,5N",14-12-2023
Purpleforest Events,"",Events Manager Traineeship,Singapore,"","SGD3N-SGD3,4N",02-01-2024
Metropolitan YMCA Singapore,"",Associate Curriculum Developer (Freelance),Singapore,"",Competitive,04-01-2024
Aztech Technologies Pte Ltd,"",Human Resources Internship,Singapore,"",Competitive,02-01-2024
GiftGood,"",eCommerce Business & Operations Intern (6-month Internship),Singapore,"","SGD1N-SGD1,5N",07-01-2024
Halcyon Agri Corporation Limited,"",Human Resources Intern,Singapore,"",Competitive,12-01-2024
Kobe Global Technologies Pte Ltd,"",Content & Community Curator,Singapore,"",Competitive,05-01-2024
National Institute Of Education,"",Senior Network Consultant / Network Consultant (IDD) [NIE],Singapore,"",Competitive,15-12-2023
Aevice Health,"",Business Development Intern (Jan - Jun 2024),Singapore,"",SGD1N,07-01-2024
Soristic,"",Project Management cum Community Outreach Intern,Singapore,"",SGD799-SGD800,11-01-2024
Bubs and Tots Swim School/MantaPlay,"",Customer Service Officer (Full-Time Role),Singapore,"","SGD2N-SGD2,5N",14-01-2024
Bluente,"",Social Media Marketing Intern,Singapore,"",Competitive,11-01-2024
Focus Rentals,"",Administrative Executive,Singapore,"","SGD2,5N-SGD3,2N",14-12-2023
Q Retail Pte Ltd,"",Merchandiser,Singapore,"","SGD3N-SGD5,5N",28-12-2023
Aztech Technologies Pte Ltd,"",Corporate Affairs Internship,Singapore,"",Competitive,02-01-2024
KNO,"",Personal Assistant - Part Time(Work From Home) / Full Time,"Kent Ridge, Singapore","",SGD10-SGD20,26-12-2023
eVantage Technology Pte Ltd,"",IT Helpdesk Specialist,Singapore,"","SGD1,8N-SGD3N",11-01-2024
Tesla Motors,"",Service Advisor,Singapore,"",Competitive,11-01-2024
Dulwich College (Singapore),"",Accounts Receivable (AR) Assistant,Singapore,"","SGD2,5N-SGD2,8N",11-01-2024
National Institute Of Education,"",Manager (AFA) (Academic & Faculty Affairs) [NIE],Singapore,"",Competitive,14-12-2023
RYSE Marketing Group,"",Entry Level Marketing Professionals,Singapore,"",SGD3N-SGD5N,11-01-2024
PT Webuy Social Indonesia,"",Talent Acquisition (Singapore),Singapore,"","SGD2,8N-SGD3N",11-01-2024
RYSE Marketing Group,"",Business Development Associate (Fresh Grad Welcome),Singapore,"",SGD3N-SGD5N,11-01-2024
The Financial Assembly,"",Business Operations Executive,Singapore,"","SGD3N-SGD3,6N",11-01-2024
Pinetree Securities Pte Ltd,"",Business Development / Sales,Singapore,"",Competitive,11-01-2024
Dulwich College (Singapore),"",Accounts Payable Assistant,Singapore,"","SGD2,5N-SGD2,8N",11-01-2024
The Swim Starter,"",Head of Customer Acquisition,Singapore,"","SGD4,5N-SGD5N",10-01-2024
clickTRUE Pte Ltd,"",Inbound Marketing Associate / Digital Marketing Specialist,Singapore,"","SGD3,4N-SGD4,5N",30-12-2023
RYSE Marketing Group,"",Entry Level Sales & Marketing Associate (Entry Level),Singapore,"",SGD3N-SGD5N,11-01-2024
1st Choice Recruit Pte Ltd,"",Accountant,Singapore,"","SGD2,5N-SGD4,5N",11-01-2024
Rampage Organisation,"",Client Service Trainee (IMMEDIATE START),Singapore,"",SGD3N-SGD5N,11-01-2024
ZENKO Superfoods,"",Merchandiser,Singapore,"",SGD2N,11-01-2024
Furnishly Pte. Ltd,"",Head of Operations (Founding Member / Co-Founder),Singapore,"",Competitive,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",SGD100-SGD2N,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",Rp10Tr,11-01-2024
DSTNCT Pte Ltd,"",Content Creator,Singapore,"","SGD3N-SGD3,5N",16-12-2023
Job Express Services Pte Ltd,"",Molding / Grinding Operator (ID4421),Singapore,"","SGD2,3N-SGD2,6N",11-01-2024
Assembly Works HR Pte Ltd,"",HR Intern (Abba Maintenance Services Pte Ltd),Singapore,"",SGD800-SGD1N,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",Competitive,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",SGD100-SGD2N,11-01-2024
Seng Hua Hng Foodstuff Pte Ltd,"",DIGITAL MARKETING INTERN,Singapore,"","SGD800-SGD1,2N",11-01-2024
clickTRUE Pte Ltd,"",Inbound Marketing Consultant / Client Servicing,"Toa Payoh, Singapore","",SGD3N-SGD6N,23-12-2023
aPetMart,"",Business Development Lead (FMCG Marketing Director),Singapore,"",SGD6N-SGD11N,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",USD2N,11-01-2024
CocoTutors,"",MOE Private Tutors,Singapore,"",Competitive,11-01-2024
CocoTutors,"",MOE Private Tutors,Singapore,"",Rp100N-Rp100N,11-01-2024
CocoTutors,"",Home Tutor,Singapore,"",SGD100-SGD2N,11-01-2024
DSTNCT Pte Ltd,"",Senior Copywriter,Singapore,"","SGD5N-SGD5,5N",11-01-2024
VITAL,"",Senior Executive / Executive,Singapore,"",Competitive,07-01-2024
PeopleScope Pte Ltd,"",Lead Management Associate/Executive,Singapore,"","SGD2,5N-SGD4N",05-01-2024
National Institute Of Education,"",Executive (3-year contract - Finance Department) [NIE],Singapore,"",Competitive,09-01-2024
National Institute Of Education,"",Systems Consultant / Senior Systems Consultant (IDD) [NIE],Singapore,"",Competitive,21-12-2023
DSTNCT Pte Ltd,"",Marketing Intern,"Paya Lebar, Singapore","",SGD800-SGD1N,19-12-2023
DSTNCT Pte Ltd,"",Graphic Design Intern,Singapore,"",SGD800-SGD1N,16-12-2023
DSTNCT Pte Ltd,"",Account Manager (Marketing),Singapore,"","SGD4N-SGD4,8N",24-12-2023
Confirm Good Pte Ltd,"",Content Creator,Singapore,"","SGD2,4N-SGD2,8N",14-12-2023
Type A,"",Senior Account Executive,"Outram, Singapore","","SGD2,5N",11-01-2024
Eclat By Oui,"",Sales Assistant,Singapore,"",SGD100-SGD1N,11-01-2024
DSTNCT Pte Ltd,"",Strategist,Singapore,"","SGD4N-SGD4,5N",16-12-2023
DSTNCT Pte Ltd,"",Senior Account Executive (Marketing),Singapore,"","SGD3,2N-SGD3,8N",24-12-2023
National Institute Of Education,"",Senior Assistant Head (IN-Learning) [NIE],Singapore,"",Competitive,14-12-2023
National Institute Of Education,"",Senior Network Consultant (IDD) [NIE],Singapore,"",Competitive,18-12-2023
DSTNCT Pte Ltd,"",Account Executive (Marketing),"Paya Lebar, Singapore","","SGD2,8N-SGD3N",24-12-2023
H-e-b,"",Pharmacy Technicians,Singapore,"","USD4,5N-USD6N",28-12-2023
H-e-b,"",Pharmacy Technician,Singapore,"",Rp100-Rp200,01-01-2024
